name	segment	bins
alltran_days_count_d28_circle_d168_avg_10_per	nMF	[64.0, 33.0, 69.0, 41.0, 11.0, 50.0, 19.0, 25.0, 58.0]
block_duration_seconds_m12_circle_d168_avg_10_per	nMF	[1.0, 34.0, 70.0, 77.0, 46.0, 84.0, 55.0, 91.0, 63.0]
circle_short_msisdn_count_d28_circle_d168_avg_10_per	nMF	[32.0, 67.0, 42.0, 74.0, 81.0, 51.0, 20.0, 89.0, 59.0]
circle_spam_msisdn_count_d28_circle_d168_avg_10_per	nMF	[36.0, 71.0, 46.0, 78.0, 23.0, 85.0, 55.0, 92.0, 63.0]
circle_spam_msisdn_count_d28_per	nMF	[1.0, 82.0, 68.0, 61.0]
data_count_in_out_alltime_alldays_d28_circle_d168_avg_10_per	nMF	[69.0, 38.0, 76.0, 47.0, 82.0, 55.0, 89.0, 27.0, 62.0]
imei_change_count_d28_circle_d168_avg_10_per	nMF	[1.0, 69.0, 74.0, 81.0, 88.0, 25.0, 62.0]
lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	nMF	[34.0, 69.0, 44.0, 76.0, 83.0, 53.0, 22.0, 91.0, 61.0]
lifetime_days_count_per	nMF	[64.0, 71.0, 40.0, 76.0, 49.0, 82.0, 87.0, 57.0, 27.0]
lifetime_days_count_per_circle_top_1	nMF	[67.0, 38.0, 75.0, 47.0, 81.0, 84.0, 87.0, 56.0, 25.0]
payment_amount_min_m3_circle_d168_avg_10_per	nMF	[37.0, 71.0, 45.0, 79.0, 21.0, 54.0, 89.0, 29.0, 62.0]
payment_count_m3_circle_avg_10_per	nMF	[67.0, 41.0, 75.0, 17.0, 50.0, 82.0, 90.0, 59.0, 30.0]
subs_device_lifetime_circle_d168_avg_10_per	nMF	[35.0, 70.0, 41.0, 79.0, 48.0, 19.0, 55.0, 27.0, 62.0]
subs_device_lifetime_per_circle_d168_top_1	nMF	[67.0, 41.0, 74.0, 12.0, 81.0, 51.0, 21.0, 60.0, 31.0]
subs_lifetime_days_count_circle_d168_avg_10_per	nMF	[34.0, 72.0, 41.0, 48.0, 18.0, 82.0, 56.0, 26.0, 63.0]
subs_lifetime_days_count_per_circle_d168_top_1	nMF	[34.0, 71.0, 44.0, 79.0, 53.0, 87.0, 23.0, 94.0, 62.0]
voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	nMF	[33.0, 67.0, 74.0, 43.0, 82.0, 52.0, 21.0, 89.0, 60.0]
voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	nMF	[1.0, 84.0, 92.0]
voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	nMF	[1.0, 69.0, 39.0, 77.0, 52.0, 84.0, 91.0, 61.0]
voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_8_dense_circle_d168_avg_10_per	nMF	[1.0, 68.0, 44.0, 76.0, 83.0, 90.0]
alltran_lac_cell_count_d28_per	MF	[98.0, 67.0, 74.0, 44.0, 80.0, 86.0, 57.0, 90.0, 94.0]
balance_amount_min_per	MF	[64.0, 38.0, 7.0, 11.0, 15.0, 49.0, 19.0, 25.0, 31.0]
block_count_m12_per	MF	[1.0, 33.0, 67.0, 76.0, 47.0, 87.0, 58.0]
block_count_m1_per	MF	[80.0, 1.0, 61.0, 70.0]
block_duration_seconds_m12_circle_d168_avg_10_per	MF	[67.0, 73.0, 43.0, 79.0, 52.0, 85.0, 26.0, 91.0, 60.0]
circle_short_spam_msisdn_count_d28_per	MF	[97.0, 98.0, 99.0, 83.0, 88.0, 91.0, 93.0, 95.0]
circle_spam_msisdn_count_d28_circle_d168_avg_10_per	MF	[67.0, 36.0, 74.0, 44.0, 81.0, 52.0, 89.0, 26.0, 60.0]
circle_spam_msisdn_count_d28_per	MF	[97.0, 98.0, 67.0, 99.0, 82.0, 87.0, 91.0, 94.0, 95.0]
lac_cell_distance_metre_FROM_alltran_count_night_alldays_max_TO_alltran_count_afternoon_workweek_max_d28_per	MF	[64.0, 1.0, 37.0, 72.0, 47.0, 81.0, 22.0, 56.0, 90.0]
lac_cell_distance_metre_max_d28_circle_d168_avg_10_per	MF	[68.0, 37.0, 75.0, 46.0, 82.0, 54.0, 89.0, 27.0, 61.0]
lifetime_days_count_per	MF	[34.0, 70.0, 75.0, 46.0, 80.0, 83.0, 54.0, 87.0, 62.0]
subs_device_lifetime_circle_d168_avg_10_per	MF	[35.0, 68.0, 41.0, 76.0, 60.0, 47.0, 21.0, 54.0, 28.0]
subs_device_lifetime_per	MF	[65.0, 37.0, 72.0, 10.0, 47.0, 80.0, 19.0, 57.0, 28.0]
subs_lifetime_days_count_circle_d168_avg_10_per	MF	[36.0, 70.0, 42.0, 79.0, 49.0, 21.0, 55.0, 29.0, 62.0]
subs_lifetime_days_count_per	MF	[66.0, 40.0, 73.0, 80.0, 49.0, 87.0, 58.0, 27.0, 94.0]
voice_sms_count_in_alltime_alldays_trend84_d168_per	MF	[33.0, 69.0, 38.0, 42.0, 47.0, 51.0, 56.0, 27.0, 61.0]
voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_1_dense_circle_d168_avg_10_per	MF	[68.0, 37.0, 74.0, 46.0, 81.0, 54.0, 88.0, 26.0, 61.0]
voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_21_dense_circle_d168_avg_10_per	MF	[1.0, 92.0, 87.0, 79.0]
voice_sms_count_in_out_alltime_alldays_d28_topnum_2016_01_5_dense_circle_d168_avg_10_per	MF	[1.0, 33.0, 69.0, 75.0, 46.0, 82.0, 55.0, 90.0, 62.0]
voice_sms_count_in_out_alltime_alldays_trend28_d84_per	MF	[65.0, 35.0, 70.0, 43.0, 77.0, 48.0, 52.0, 56.0, 61.0]
